packet_seq_no,packet_delay_in_secs,flow_id,label
39,20.56106,2,with_qdisc
39,20.663387,5,with_qdisc
40,20.776833,1,with_qdisc
40,20.870576,4,with_qdisc
40,20.973251,3,with_qdisc
40,21.084086,2,with_qdisc
40,21.186463,5,with_qdisc
41,21.284167,1,with_qdisc
41,21.390258,4,with_qdisc
41,21.49642,3,with_qdisc
41,21.603157,2,with_qdisc
41,21.710487,5,with_qdisc
42,21.811667,1,with_qdisc
42,21.912675,4,with_qdisc
42,22.019252,3,with_qdisc
42,22.125989,2,with_qdisc
42,22.239151,5,with_qdisc
43,22.328905,1,with_qdisc
43,22.44368,4,with_qdisc
43,22.549478,3,with_qdisc
43,22.648674,2,with_qdisc
43,22.755557,5,with_qdisc
44,22.852088,1,with_qdisc
44,22.966317,4,with_qdisc
44,23.067069,3,with_qdisc
44,23.173817,2,with_qdisc
44,23.278162,5,with_qdisc
45,23.375377,1,with_qdisc
45,23.500613,4,with_qdisc
45,23.597701,3,with_qdisc
45,23.695945,2,with_qdisc
45,23.80809,5,with_qdisc
46,23.898716,1,with_qdisc
46,24.005557,4,with_qdisc
46,24.115156,3,with_qdisc
46,24.225255,2,with_qdisc
46,24.337333,5,with_qdisc
47,24.418861,1,with_qdisc
47,24.525852,4,with_qdisc
47,24.635349,3,with_qdisc
47,24.738359,2,with_qdisc
47,24.845028,5,with_qdisc
48,24.944375,1,with_qdisc
48,25.051002,4,with_qdisc
48,25.195967,3,with_qdisc
48,25.264583,2,with_qdisc
48,25.370225,5,with_qdisc
49,25.47031,1,with_qdisc
49,25.574504,4,with_qdisc
49,25.681142,3,with_qdisc
49,25.786912,2,with_qdisc
49,25.894522,5,with_qdisc
50,25.989486,1,with_qdisc
50,26.096279,4,with_qdisc
50,26.208006,3,with_qdisc
50,26.346577,2,with_qdisc
50,26.416254,5,with_qdisc
51,26.51307,1,with_qdisc
51,26.621886,4,with_qdisc
51,26.728262,3,with_qdisc
51,26.832629,2,with_qdisc
51,26.939178,5,with_qdisc
52,27.036536,1,with_qdisc
52,27.142818,4,with_qdisc
52,27.250364,3,with_qdisc
52,27.356878,2,with_qdisc
52,27.463357,5,with_qdisc
53,27.558619,1,with_qdisc
53,27.665237,4,with_qdisc
53,27.772783,3,with_qdisc
53,27.891044,2,with_qdisc
53,27.985891,5,with_qdisc
54,28.12569,1,with_qdisc
54,28.193976,4,with_qdisc
54,28.295251,3,with_qdisc
54,28.401759,2,with_qdisc
54,28.531977,5,with_qdisc
55,28.609485,1,with_qdisc
55,28.727921,4,with_qdisc
55,28.81839,3,with_qdisc
55,28.966249,2,with_qdisc
55,29.040084,5,with_qdisc
56,29.135746,1,with_qdisc
56,29.241477,4,with_qdisc
56,29.341224,3,with_qdisc
56,29.447983,2,with_qdisc
56,29.56544,5,with_qdisc
57,29.651086,1,with_qdisc
57,29.758021,4,with_qdisc
57,29.865071,3,with_qdisc
57,29.971936,2,with_qdisc
57,30.077343,5,with_qdisc
58,30.173702,1,with_qdisc
58,30.280812,4,with_qdisc
58,30.38651,3,with_qdisc
58,30.49336,2,with_qdisc
58,30.600142,5,with_qdisc
59,30.69765,1,with_qdisc
59,30.803534,4,with_qdisc
59,30.910621,3,with_qdisc
59,31.016918,2,with_qdisc
59,31.123524,5,with_qdisc
60,31.220485,1,with_qdisc
60,31.326329,4,with_qdisc
60,31.433755,3,with_qdisc
60,31.539538,2,with_qdisc
60,31.646157,5,with_qdisc
61,31.743321,1,with_qdisc
61,31.849887,4,with_qdisc
61,31.95626,3,with_qdisc
61,32.062714,2,with_qdisc
61,32.170021,5,with_qdisc
62,32.266937,1,with_qdisc
62,32.372946,4,with_qdisc
62,32.479396,3,with_qdisc
62,32.58808,2,with_qdisc
62,32.693118,5,with_qdisc
63,32.78933,1,with_qdisc
63,32.89575,4,with_qdisc
63,33.002536,3,with_qdisc
63,33.109618,2,with_qdisc
63,33.216602,5,with_qdisc
64,33.3124,1,with_qdisc
64,33.41968,4,with_qdisc
64,33.52685,3,with_qdisc
64,33.632331,2,with_qdisc
64,33.738834,5,with_qdisc
65,33.839198,1,with_qdisc
65,33.941869,4,with_qdisc
65,34.051583,3,with_qdisc
65,34.169161,2,with_qdisc
65,34.266739,5,with_qdisc
66,34.35893,1,with_qdisc
66,34.465501,4,with_qdisc
66,34.571846,3,with_qdisc
66,34.678762,2,with_qdisc
66,34.784754,5,with_qdisc
67,34.880585,1,with_qdisc
67,34.987588,4,with_qdisc
67,35.097019,3,with_qdisc
67,35.207546,2,with_qdisc
67,35.310721,5,with_qdisc
68,35.403358,1,with_qdisc
68,35.509572,4,with_qdisc
68,35.615764,3,with_qdisc
68,35.730153,2,with_qdisc
68,35.851316,5,with_qdisc
69,35.928317,1,with_qdisc
69,36.038489,4,with_qdisc
69,36.155718,3,with_qdisc
69,36.246668,2,with_qdisc
69,36.353609,5,with_qdisc
70,36.466227,1,with_qdisc
