packet_seq_no,packet_delay_in_secs,flow_id,label
34,4.8e-05,2,with_out_qdisc
34,4.7e-05,5,with_out_qdisc
35,0.000213,1,with_out_qdisc
35,9.1e-05,4,with_out_qdisc
35,0.000126,3,with_out_qdisc
35,5.3e-05,2,with_out_qdisc
35,4.7e-05,5,with_out_qdisc
36,0.000406,1,with_out_qdisc
36,0.000104,4,with_out_qdisc
36,5.3e-05,3,with_out_qdisc
36,4.8e-05,2,with_out_qdisc
36,0.000459,5,with_out_qdisc
37,0.000177,1,with_out_qdisc
37,9.3e-05,4,with_out_qdisc
37,8.6e-05,3,with_out_qdisc
37,0.000207,2,with_out_qdisc
37,0.00011,5,with_out_qdisc
38,0.000177,1,with_out_qdisc
38,6.1e-05,4,with_out_qdisc
38,6.6e-05,3,with_out_qdisc
38,0.000145,2,with_out_qdisc
38,8.2e-05,5,with_out_qdisc
39,0.000229,1,with_out_qdisc
39,0.00028,4,with_out_qdisc
39,9.9e-05,3,with_out_qdisc
39,5e-05,2,with_out_qdisc
39,4.7e-05,5,with_out_qdisc
40,0.000203,1,with_out_qdisc
40,0.000196,4,with_out_qdisc
40,6e-05,3,with_out_qdisc
40,4.7e-05,2,with_out_qdisc
40,4.6e-05,5,with_out_qdisc
41,0.00051,1,with_out_qdisc
41,7.4e-05,4,with_out_qdisc
41,5.1e-05,3,with_out_qdisc
41,5.2e-05,2,with_out_qdisc
41,4.8e-05,5,with_out_qdisc
42,4.8e-05,1,with_out_qdisc
42,0.000169,4,with_out_qdisc
42,6.6e-05,3,with_out_qdisc
42,4.8e-05,2,with_out_qdisc
42,4.6e-05,5,with_out_qdisc
43,0.000214,1,with_out_qdisc
43,0.000137,4,with_out_qdisc
43,5.4e-05,3,with_out_qdisc
43,4.8e-05,2,with_out_qdisc
43,4.6e-05,5,with_out_qdisc
44,0.000219,1,with_out_qdisc
44,6.2e-05,4,with_out_qdisc
44,0.000171,3,with_out_qdisc
44,6.5e-05,2,with_out_qdisc
44,4.9e-05,5,with_out_qdisc
45,0.000213,1,with_out_qdisc
45,6.3e-05,4,with_out_qdisc
45,0.000116,3,with_out_qdisc
45,5.7e-05,2,with_out_qdisc
45,4.7e-05,5,with_out_qdisc
46,0.000364,1,with_out_qdisc
46,8e-05,4,with_out_qdisc
46,5.2e-05,3,with_out_qdisc
46,4.8e-05,2,with_out_qdisc
46,4.6e-05,5,with_out_qdisc
47,4.5e-05,1,with_out_qdisc
47,4.3e-05,4,with_out_qdisc
47,0.00026,3,with_out_qdisc
47,9.1e-05,2,with_out_qdisc
47,5.1e-05,5,with_out_qdisc
