duration_in_secs,handle,packets,bytes
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
1.008313,,0,0
1.008313,,2,2132
1.008313,,0,0
1.008313,,0,0
1.008313,,0,0
1.008313,,0,0
1.008313,,0,0
1.008313,,0,0
1.008313,,0,0
1.008313,,4,4264
2.023379,,0,0
2.023379,,2,2132
2.023379,,0,0
2.023379,,0,0
2.023379,,0,0
2.023379,,0,0
2.023379,,0,0
2.023379,,0,0
2.023379,,0,0
2.023379,,12,12792
3.055558,,0,0
3.055558,,3,3198
3.055558,,0,0
3.055558,,0,0
3.055558,,0,0
3.055558,,0,0
3.055558,,0,0
3.055558,,0,0
3.055558,,0,0
3.055558,,19,20254
4.078432,,0,0
4.078432,,3,3198
4.078432,,0,0
4.078432,,0,0
4.078432,,0,0
4.078432,,0,0
4.078432,,0,0
4.078432,,0,0
4.078432,,0,0
4.078432,,26,27716
5.120866,,0,0
5.120866,,3,3198
5.120866,,0,0
5.120866,,0,0
5.120866,,0,0
5.120866,,0,0
5.120866,,0,0
5.120866,,0,0
5.120866,,0,0
5.120866,,33,35178
6.14365,,0,0
6.14365,,4,4264
6.14365,,0,0
6.14365,,0,0
6.14365,,0,0
6.14365,,0,0
6.14365,,0,0
6.14365,,0,0
6.14365,,0,0
6.14365,,40,42640
7.158894,,0,0
7.158894,,4,4264
7.158894,,0,0
7.158894,,0,0
7.158894,,0,0
7.158894,,0,0
7.158894,,0,0
7.158894,,0,0
7.158894,,0,0
7.158894,,48,51168
8.188266,,0,0
8.188266,,4,4264
8.188266,,0,0
8.188266,,0,0
8.188266,,0,0
8.188266,,0,0
8.188266,,0,0
8.188266,,0,0
8.188266,,0,0
8.188266,,55,58630
9.216908,,0,0
9.216908,,4,4264
9.216908,,0,0
9.216908,,0,0
9.216908,,0,0
9.216908,,0,0
9.216908,,0,0
9.216908,,0,0
9.216908,,0,0
9.216908,,62,66092
10.252028,,0,0
10.252028,,5,5330
10.252028,,0,0
10.252028,,0,0
10.252028,,0,0
10.252028,,0,0
10.252028,,0,0
10.252028,,0,0
10.252028,,0,0
10.252028,,69,73554
11.261166,,0,0
11.261166,,5,5330
11.261166,,0,0
11.261166,,0,0
11.261166,,0,0
11.261166,,0,0
11.261166,,0,0
11.261166,,0,0
11.261166,,0,0
