duration_in_secs,handle,packets,bytes
46.548674,122:,35,37310
46.548674,124:,0,0
46.548674,113:,1,1066
46.548674,111:,6,6396
46.548674,12:,135,143910
46.548674,121:,100,106600
46.548674,123:,0,0
46.548674,112:,1,1066
46.548674,114:,4,224
46.548674,11:,11,7686
48.556225,1:,154,160124
48.556225,122:,42,44772
48.556225,124:,0,0
48.556225,113:,1,1066
48.556225,111:,7,7462
48.556225,12:,142,151372
48.556225,121:,100,106600
48.556225,123:,0,0
48.556225,112:,1,1066
48.556225,114:,4,224
48.556225,11:,12,8752
50.573002,1:,161,167586
50.573002,122:,49,52234
50.573002,124:,0,0
50.573002,113:,1,1066
50.573002,111:,7,7462
50.573002,12:,149,158834
50.573002,121:,100,106600
50.573002,123:,0,0
50.573002,112:,1,1066
50.573002,114:,4,224
50.573002,11:,12,8752
52.604992,1:,169,176114
52.604992,122:,57,60762
52.604992,124:,0,0
52.604992,113:,1,1066
52.604992,111:,7,7462
52.604992,12:,157,167362
52.604992,121:,100,106600
52.604992,123:,0,0
52.604992,112:,1,1066
52.604992,114:,4,224
52.604992,11:,12,8752
54.622387,1:,176,183576
54.622387,122:,64,68224
54.622387,124:,0,0
54.622387,113:,1,1066
54.622387,111:,7,7462
54.622387,12:,164,174824
54.622387,121:,100,106600
54.622387,123:,0,0
54.622387,112:,1,1066
54.622387,114:,4,224
54.622387,11:,12,8752
56.637854,1:,184,192104
56.637854,122:,71,75686
56.637854,124:,0,0
56.637854,113:,1,1066
56.637854,111:,8,8528
56.637854,12:,171,182286
56.637854,121:,100,106600
56.637854,123:,0,0
56.637854,112:,1,1066
56.637854,114:,4,224
56.637854,11:,13,9818
58.659916,1:,191,199566
58.659916,122:,78,83148
58.659916,124:,0,0
58.659916,113:,1,1066
58.659916,111:,8,8528
58.659916,12:,178,189748
58.659916,121:,100,106600
58.659916,123:,0,0
58.659916,112:,1,1066
58.659916,114:,4,224
58.659916,11:,13,9818
60.676146,1:,198,207028
60.676146,122:,85,90610
60.676146,124:,0,0
60.676146,113:,1,1066
60.676146,111:,8,8528
60.676146,12:,185,197210
60.676146,121:,100,106600
60.676146,123:,0,0
60.676146,112:,1,1066
60.676146,114:,4,224
60.676146,11:,13,9818
62.691969,1:,206,215556
62.691969,122:,92,98072
62.691969,124:,0,0
62.691969,113:,1,1066
62.691969,111:,9,9594
62.691969,12:,192,204672
62.691969,121:,100,106600
62.691969,123:,0,0
62.691969,112:,1,1066
62.691969,114:,4,224
62.691969,11:,14,10884
64.713441,1:,213,223018
64.713441,122:,99,105534
64.713441,124:,0,0
64.713441,113:,1,1066
64.713441,111:,9,9594
64.713441,12:,199,212134
64.713441,121:,100,106600
64.713441,123:,0,0
64.713441,112:,1,1066
64.713441,114:,4,224
64.713441,11:,14,10884
66.719888,1:,220,230480
66.719888,122:,100,106600
66.719888,124:,3,3198
66.719888,113:,1,1066
66.719888,111:,9,9594
66.719888,12:,206,219596
66.719888,121:,100,106600
66.719888,123:,4,4264
66.719888,112:,1,1066
66.719888,114:,4,224
66.719888,11:,14,10884
68.727057,1:,227,237942
68.727057,122:,100,106600
68.727057,124:,6,6396
68.727057,113:,1,1066
68.727057,111:,9,9594
68.727057,12:,213,227058
68.727057,121:,100,106600
68.727057,123:,8,8528
68.727057,112:,1,1066
68.727057,114:,4,224
68.727057,11:,14,10884
70.743946,1:,235,246470
70.743946,122:,100,106600
70.743946,124:,8,8528
70.743946,113:,1,1066
70.743946,111:,10,10660
70.743946,12:,220,234520
70.743946,121:,100,106600
70.743946,123:,13,13858
70.743946,112:,1,1066
70.743946,114:,4,224
70.743946,11:,15,11950
72.750555,1:,243,254998
72.750555,122:,100,106600
72.750555,124:,12,12792
72.750555,113:,1,1066
72.750555,111:,10,10660
72.750555,12:,228,243048
72.750555,121:,100,106600
72.750555,123:,17,18122
72.750555,112:,1,1066
72.750555,114:,4,224
72.750555,11:,15,11950
74.774165,1:,250,262460
74.774165,122:,100,106600
74.774165,124:,14,14924
74.774165,113:,1,1066
74.774165,111:,10,10660
74.774165,12:,235,250510
74.774165,121:,100,106600
74.774165,123:,22,23452
74.774165,112:,1,1066
74.774165,114:,4,224
74.774165,11:,15,11950
76.809295,1:,258,270988
76.809295,122:,100,106600
76.809295,124:,17,18122
76.809295,113:,1,1066
76.809295,111:,11,11726
76.809295,12:,242,257972
76.809295,121:,100,106600
76.809295,123:,26,27716
76.809295,112:,1,1066
76.809295,114:,4,224
76.809295,11:,16,13016
78.830674,1:,265,278450
78.830674,122:,100,106600
78.830674,124:,20,21320
78.830674,113:,1,1066
78.830674,111:,11,11726
78.830674,12:,249,265434
78.830674,121:,100,106600
78.830674,123:,30,31980
78.830674,112:,1,1066
78.830674,114:,4,224
78.830674,11:,16,13016
80.852698,1:,272,285912
80.852698,122:,100,106600
80.852698,124:,23,24518
80.852698,113:,1,1066
80.852698,111:,11,11726
80.852698,12:,256,272896
80.852698,121:,100,106600
80.852698,123:,34,36244
80.852698,112:,1,1066
80.852698,114:,4,224
80.852698,11:,16,13016
82.858739,1:,279,293374
82.858739,122:,100,106600
82.858739,124:,26,27716
82.858739,113:,1,1066
82.858739,111:,11,11726
82.858739,12:,263,280358
82.858739,121:,100,106600
82.858739,123:,38,40508
82.858739,112:,1,1066
82.858739,114:,4,224
82.858739,11:,16,13016
84.870887,1:,287,301902
84.870887,122:,100,106600
84.870887,124:,28,29848
84.870887,113:,1,1066
84.870887,111:,12,12792
84.870887,12:,270,287820
84.870887,121:,100,106600
84.870887,123:,43,45838
84.870887,112:,1,1066
84.870887,114:,4,224
84.870887,11:,17,14082
86.88809,1:,294,309364
86.88809,122:,100,106600
86.88809,124:,31,33046
86.88809,113:,1,1066
86.88809,111:,12,12792
86.88809,12:,277,295282
86.88809,121:,100,106600
86.88809,123:,47,50102
86.88809,112:,1,1066
86.88809,114:,4,224
86.88809,11:,17,14082
88.899703,1:,301,316826
88.899703,122:,100,106600
88.899703,124:,34,36244
88.899703,113:,1,1066
88.899703,111:,12,12792
88.899703,12:,284,302744
88.899703,121:,100,106600
88.899703,123:,51,54366
88.899703,112:,1,1066
88.899703,114:,4,224
88.899703,11:,17,14082
90.918294,1:,309,325354
90.918294,122:,100,106600
90.918294,124:,37,39442
90.918294,113:,1,1066
90.918294,111:,13,13858
90.918294,12:,291,310206
90.918294,121:,100,106600
90.918294,123:,55,58630
90.918294,112:,1,1066
90.918294,114:,4,224
90.918294,11:,18,15148
92.93474,1:,317,333882
92.93474,122:,100,106600
92.93474,124:,40,42640
92.93474,113:,1,1066
92.93474,111:,13,13858
92.93474,12:,299,318734
92.93474,121:,100,106600
92.93474,123:,60,63960
92.93474,112:,1,1066
92.93474,114:,4,224
92.93474,11:,18,15148
94.952329,1:,324,341344
94.952329,122:,100,106600
94.952329,124:,43,45838
94.952329,113:,1,1066
94.952329,111:,13,13858
94.952329,12:,306,326196
94.952329,121:,100,106600
94.952329,123:,64,68224
94.952329,112:,1,1066
94.952329,114:,4,224
94.952329,11:,18,15148
96.967912,1:,331,348806
96.967912,122:,100,106600
96.967912,124:,46,49036
96.967912,113:,1,1066
96.967912,111:,13,13858
96.967912,12:,313,333658
96.967912,121:,100,106600
96.967912,123:,68,72488
96.967912,112:,1,1066
96.967912,114:,4,224
96.967912,11:,18,15148
98.979669,1:,339,357334
98.979669,122:,100,106600
98.979669,124:,48,51168
98.979669,113:,1,1066
98.979669,111:,14,14924
98.979669,12:,320,341120
98.979669,121:,100,106600
98.979669,123:,73,77818
98.979669,112:,1,1066
98.979669,114:,4,224
98.979669,11:,19,16214
100.985231,1:,346,364796
100.985231,122:,100,106600
100.985231,124:,51,54366
100.985231,113:,1,1066
100.985231,111:,14,14924
100.985231,12:,327,348582
100.985231,121:,100,106600
100.985231,123:,77,82082
100.985231,112:,1,1066
100.985231,114:,4,224
100.985231,11:,19,16214
103.030423,1:,353,372258
103.030423,122:,100,106600
103.030423,124:,54,57564
