duration_in_secs,handle,packets,bytes
0.0,1:,4,252
0.0,122:,0,0
0.0,124:,0,0
0.0,113:,0,0
0.0,111:,0,0
0.0,12:,0,0
0.0,121:,0,0
0.0,123:,0,0
0.0,112:,0,0
0.0,114:,4,252
0.0,11:,4,252
2.008478,1:,25,22638
2.008478,122:,1,1066
2.008478,124:,0,0
2.008478,113:,0,0
2.008478,111:,2,2132
2.008478,12:,18,19188
2.008478,121:,17,18122
2.008478,123:,0,0
2.008478,112:,1,1066
2.008478,114:,4,252
2.008478,11:,7,3450
4.029003,1:,54,53552
4.029003,122:,1,1066
4.029003,124:,0,0
4.029003,113:,0,0
4.029003,111:,3,3198
4.029003,12:,46,49036
4.029003,121:,45,47970
4.029003,123:,0,0
4.029003,112:,1,1066
4.029003,114:,4,252
4.029003,11:,8,4516
6.047177,1:,84,85532
6.047177,122:,1,1066
6.047177,124:,0,0
6.047177,113:,0,0
6.047177,111:,4,4264
6.047177,12:,75,79950
6.047177,121:,74,78884
6.047177,123:,0,0
6.047177,112:,1,1066
6.047177,114:,4,252
6.047177,11:,9,5582
8.068607,1:,113,116446
8.068607,122:,3,3198
8.068607,124:,0,0
8.068607,113:,0,0
8.068607,111:,5,5330
8.068607,12:,103,109798
8.068607,121:,100,106600
8.068607,123:,0,0
8.068607,112:,1,1066
8.068607,114:,4,252
8.068607,11:,10,6648
10.073439,1:,142,147360
10.073439,122:,31,33046
10.073439,124:,0,0
10.073439,113:,0,0
10.073439,111:,6,6396
10.073439,12:,131,139646
10.073439,121:,100,106600
10.073439,123:,0,0
10.073439,112:,1,1066
10.073439,114:,4,252
10.073439,11:,11,7714
12.096443,1:,172,179340
12.096443,122:,60,63960
12.096443,124:,0,0
12.096443,113:,0,0
12.096443,111:,7,7462
12.096443,12:,160,170560
12.096443,121:,100,106600
12.096443,123:,0,0
12.096443,112:,1,1066
12.096443,114:,4,252
12.096443,11:,12,8780
14.113048,1:,201,210254
14.113048,122:,88,93808
14.113048,124:,0,0
14.113048,113:,0,0
14.113048,111:,8,8528
14.113048,12:,188,200408
14.113048,121:,100,106600
14.113048,123:,0,0
14.113048,112:,1,1066
14.113048,114:,4,252
14.113048,11:,13,9846
16.133153,1:,232,243300
16.133153,122:,100,106600
16.133153,124:,7,7462
16.133153,113:,0,0
16.133153,111:,10,10660
16.133153,12:,217,231322
16.133153,121:,100,106600
16.133153,123:,11,11726
16.133153,112:,1,1066
16.133153,114:,4,252
16.133153,11:,15,11978
18.141808,1:,261,274214
18.141808,122:,100,106600
18.141808,124:,19,20254
18.141808,113:,0,0
18.141808,111:,11,11726
18.141808,12:,245,261170
18.141808,121:,100,106600
18.141808,123:,27,28782
18.141808,112:,1,1066
18.141808,114:,4,252
18.141808,11:,16,13044
20.194662,1:,291,306194
20.194662,122:,100,106600
20.194662,124:,30,31980
20.194662,113:,0,0
20.194662,111:,12,12792
20.194662,12:,274,292084
20.194662,121:,100,106600
20.194662,123:,45,47970
20.194662,112:,1,1066
20.194662,114:,4,252
20.194662,11:,17,14110
22.230178,1:,320,337108
22.230178,122:,100,106600
22.230178,124:,42,44772
22.230178,113:,0,0
22.230178,111:,13,13858
22.230178,12:,302,321932
22.230178,121:,100,106600
22.230178,123:,61,65026
22.230178,112:,1,1066
22.230178,114:,4,252
22.230178,11:,18,15176
24.247257,1:,350,369088
24.247257,122:,100,106600
24.247257,124:,53,56498
24.247257,113:,0,0
24.247257,111:,14,14924
24.247257,12:,331,352846
24.247257,121:,100,106600
24.247257,123:,79,84214
24.247257,112:,1,1066
24.247257,114:,4,252
24.247257,11:,19,16242
26.254463,1:,379,400002
26.254463,122:,100,106600
26.254463,124:,64,68224
26.254463,113:,0,0
26.254463,111:,15,15990
26.254463,12:,359,382694
26.254463,121:,100,106600
26.254463,123:,96,102336
26.254463,112:,1,1066
26.254463,114:,4,252
26.254463,11:,20,17308
28.273409,1:,408,430916
28.273409,122:,100,106600
28.273409,124:,87,92742
28.273409,113:,0,0
28.273409,111:,16,17056
28.273409,12:,387,412542
28.273409,121:,100,106600
28.273409,123:,100,106600
28.273409,112:,1,1066
28.273409,114:,4,252
28.273409,11:,21,18374
30.281225,1:,439,463962
30.281225,122:,100,106600
30.281225,124:,116,123656
30.281225,113:,0,0
30.281225,111:,18,19188
30.281225,12:,416,443456
30.281225,121:,100,106600
30.281225,123:,100,106600
30.281225,112:,1,1066
30.281225,114:,4,252
30.281225,11:,23,20506
32.287795,1:,468,494876
32.287795,122:,100,106600
32.287795,124:,144,153504
32.287795,113:,0,0
32.287795,111:,19,20254
32.287795,12:,444,473304
32.287795,121:,100,106600
32.287795,123:,100,106600
32.287795,112:,1,1066
32.287795,114:,4,252
32.287795,11:,24,21572
34.301488,1:,497,525790
34.301488,122:,100,106600
34.301488,124:,172,183352
34.301488,113:,0,0
34.301488,111:,20,21320
34.301488,12:,472,503152
34.301488,121:,100,106600
34.301488,123:,100,106600
34.301488,112:,1,1066
34.301488,114:,4,252
34.301488,11:,25,22638
36.31017,1:,526,556704
36.31017,122:,100,106600
36.31017,124:,200,213200
36.31017,113:,0,0
36.31017,111:,21,22386
36.31017,12:,500,533000
36.31017,121:,100,106600
36.31017,123:,100,106600
36.31017,112:,1,1066
36.31017,114:,4,252
36.31017,11:,26,23704
38.326824,1:,527,557770
38.326824,122:,100,106600
38.326824,124:,200,213200
38.326824,113:,0,0
38.326824,111:,22,23452
38.326824,12:,500,533000
38.326824,121:,100,106600
38.326824,123:,100,106600
38.326824,112:,1,1066
38.326824,114:,4,252
38.326824,11:,27,24770
40.343886,1:,528,558836
40.343886,122:,100,106600
40.343886,124:,200,213200
40.343886,113:,0,0
40.343886,111:,23,24518
40.343886,12:,500,533000
40.343886,121:,100,106600
40.343886,123:,100,106600
40.343886,112:,1,1066
40.343886,114:,4,252
40.343886,11:,28,25836
42.37399,1:,529,559902
42.37399,122:,100,106600
42.37399,124:,200,213200
42.37399,113:,0,0
42.37399,111:,24,25584
42.37399,12:,500,533000
42.37399,121:,100,106600
42.37399,123:,100,106600
42.37399,112:,1,1066
42.37399,114:,4,252
42.37399,11:,29,26902
44.399993,1:,530,560968
44.399993,122:,100,106600
44.399993,124:,200,213200
44.399993,113:,0,0
44.399993,111:,25,26650
44.399993,12:,500,533000
44.399993,121:,100,106600
44.399993,123:,100,106600
44.399993,112:,1,1066
44.399993,114:,4,252
44.399993,11:,30,27968
46.415769,1:,532,563100
46.415769,122:,100,106600
46.415769,124:,200,213200
46.415769,113:,0,0
46.415769,111:,27,28782
46.415769,12:,500,533000
46.415769,121:,100,106600
46.415769,123:,100,106600
46.415769,112:,1,1066
46.415769,114:,4,252
46.415769,11:,32,30100
48.437203,1:,533,564166
48.437203,122:,100,106600
48.437203,124:,200,213200
48.437203,113:,0,0
48.437203,111:,28,29848
48.437203,12:,500,533000
48.437203,121:,100,106600
48.437203,123:,100,106600
48.437203,112:,1,1066
48.437203,114:,4,252
48.437203,11:,33,31166
50.463551,1:,534,565232
50.463551,122:,100,106600
50.463551,124:,200,213200
50.463551,113:,0,0
50.463551,111:,29,30914
50.463551,12:,500,533000
50.463551,121:,100,106600
50.463551,123:,100,106600
50.463551,112:,1,1066
50.463551,114:,4,252
50.463551,11:,34,32232
52.48377,1:,535,566298
52.48377,122:,100,106600
52.48377,124:,200,213200
52.48377,113:,0,0
52.48377,111:,30,31980
52.48377,12:,500,533000
52.48377,121:,100,106600
52.48377,123:,100,106600
52.48377,112:,1,1066
52.48377,114:,4,252
52.48377,11:,35,33298
54.499919,1:,536,567364
54.499919,122:,100,106600
54.499919,124:,200,213200
54.499919,113:,0,0
54.499919,111:,31,33046
54.499919,12:,500,533000
54.499919,121:,100,106600
54.499919,123:,100,106600
54.499919,112:,1,1066
54.499919,114:,4,252
54.499919,11:,36,34364
56.506565,1:,537,568430
56.506565,122:,100,106600
56.506565,124:,200,213200
56.506565,113:,0,0
56.506565,111:,32,34112
56.506565,12:,500,533000
56.506565,121:,100,106600
56.506565,123:,100,106600
56.506565,112:,1,1066
56.506565,114:,4,252
56.506565,11:,37,35430
58.538688,1:,538,569496
58.538688,122:,100,106600
58.538688,124:,200,213200
58.538688,113:,0,0
58.538688,111:,33,35178
58.538688,12:,500,533000
58.538688,121:,100,106600
58.538688,123:,100,106600
58.538688,112:,1,1066
58.538688,114:,4,252
58.538688,11:,38,36496
60.551875,1:,540,571628
60.551875,122:,100,106600
60.551875,124:,200,213200
60.551875,113:,0,0
60.551875,111:,35,37310
60.551875,12:,500,533000
60.551875,121:,100,106600
60.551875,123:,100,106600
60.551875,112:,1,1066
60.551875,114:,4,252
60.551875,11:,40,38628
62.566506,1:,541,572694
62.566506,122:,100,106600
62.566506,124:,200,213200
62.566506,113:,0,0
62.566506,111:,36,38376
62.566506,12:,500,533000
62.566506,121:,100,106600
62.566506,123:,100,106600
62.566506,112:,1,1066
62.566506,114:,4,252
62.566506,11:,41,39694
64.573561,1:,542,573760
64.573561,122:,100,106600
64.573561,124:,200,213200
64.573561,113:,0,0
64.573561,111:,37,39442
64.573561,12:,500,533000
64.573561,121:,100,106600
64.573561,123:,100,106600
64.573561,112:,1,1066
64.573561,114:,4,252
64.573561,11:,42,40760
66.59264,1:,543,574826
66.59264,122:,100,106600
66.59264,124:,200,213200
66.59264,113:,0,0
66.59264,111:,38,40508
66.59264,12:,500,533000
66.59264,121:,100,106600
66.59264,123:,100,106600
66.59264,112:,1,1066
66.59264,114:,4,252
66.59264,11:,43,41826
68.598043,1:,544,575892
68.598043,122:,100,106600
68.598043,124:,200,213200
68.598043,113:,0,0
68.598043,111:,39,41574
68.598043,12:,500,533000
68.598043,121:,100,106600
68.598043,123:,100,106600
68.598043,112:,1,1066
68.598043,114:,4,252
68.598043,11:,44,42892
70.602694,1:,545,576958
70.602694,122:,100,106600
70.602694,124:,200,213200
70.602694,113:,0,0
70.602694,111:,40,42640
70.602694,12:,500,533000
70.602694,121:,100,106600
70.602694,123:,100,106600
70.602694,112:,1,1066
70.602694,114:,4,252
70.602694,11:,45,43958
72.618278,1:,546,578024
72.618278,122:,100,106600
72.618278,124:,200,213200
72.618278,113:,0,0
72.618278,111:,41,43706
72.618278,12:,500,533000
72.618278,121:,100,106600
72.618278,123:,100,106600
72.618278,112:,1,1066
72.618278,114:,4,252
72.618278,11:,46,45024
74.6409,1:,548,580156
74.6409,122:,100,106600
74.6409,124:,200,213200
74.6409,113:,0,0
74.6409,111:,43,45838
74.6409,12:,500,533000
74.6409,121:,100,106600
74.6409,123:,100,106600
74.6409,112:,1,1066
74.6409,114:,4,252
74.6409,11:,48,47156
76.658847,1:,549,581222
76.658847,122:,100,106600
76.658847,124:,200,213200
76.658847,113:,0,0
76.658847,111:,44,46904
76.658847,12:,500,533000
76.658847,121:,100,106600
76.658847,123:,100,106600
76.658847,112:,1,1066
76.658847,114:,4,252
76.658847,11:,49,48222
78.671363,1:,550,582288
78.671363,122:,100,106600
78.671363,124:,200,213200
78.671363,113:,0,0
78.671363,111:,45,47970
78.671363,12:,500,533000
78.671363,121:,100,106600
78.671363,123:,100,106600
78.671363,112:,1,1066
78.671363,114:,4,252
78.671363,11:,50,49288
80.68657,1:,551,583354
80.68657,122:,100,106600
80.68657,124:,200,213200
80.68657,113:,0,0
80.68657,111:,46,49036
80.68657,12:,500,533000
80.68657,121:,100,106600
80.68657,123:,100,106600
80.68657,112:,1,1066
80.68657,114:,4,252
80.68657,11:,51,50354
82.740427,1:,552,584420
82.740427,122:,100,106600
82.740427,124:,200,213200
82.740427,113:,0,0
82.740427,111:,47,50102
82.740427,12:,500,533000
82.740427,121:,100,106600
82.740427,123:,100,106600
82.740427,112:,1,1066
82.740427,114:,4,252
82.740427,11:,52,51420
84.75964,1:,553,585486
84.75964,122:,100,106600
84.75964,124:,200,213200
84.75964,113:,0,0
84.75964,111:,48,51168
84.75964,12:,500,533000
84.75964,121:,100,106600
84.75964,123:,100,106600
84.75964,112:,1,1066
84.75964,114:,4,252
84.75964,11:,53,52486
86.775291,1:,554,586552
86.775291,122:,100,106600
86.775291,124:,200,213200
86.775291,113:,0,0
86.775291,111:,49,52234
86.775291,12:,500,533000
86.775291,121:,100,106600
86.775291,123:,100,106600
86.775291,112:,1,1066
86.775291,114:,4,252
86.775291,11:,54,53552
88.780731,1:,555,587618
88.780731,122:,100,106600
88.780731,124:,200,213200
88.780731,113:,0,0
88.780731,111:,50,53300
88.780731,12:,500,533000
88.780731,121:,100,106600
88.780731,123:,100,106600
88.780731,112:,1,1066
88.780731,114:,4,252
88.780731,11:,55,54618
90.818084,1:,557,589750
90.818084,122:,100,106600
90.818084,124:,200,213200
90.818084,113:,0,0
90.818084,111:,52,55432
90.818084,12:,500,533000
90.818084,121:,100,106600
90.818084,123:,100,106600
90.818084,112:,1,1066
90.818084,114:,4,252
90.818084,11:,57,56750
92.830266,1:,558,590816
92.830266,122:,100,106600
92.830266,124:,200,213200
92.830266,113:,0,0
92.830266,111:,53,56498
92.830266,12:,500,533000
92.830266,121:,100,106600
92.830266,123:,100,106600
92.830266,112:,1,1066
92.830266,114:,4,252
92.830266,11:,58,57816
94.866749,1:,559,591882
94.866749,122:,100,106600
94.866749,124:,200,213200
94.866749,113:,0,0
94.866749,111:,54,57564
94.866749,12:,500,533000
94.866749,121:,100,106600
94.866749,123:,100,106600
94.866749,112:,1,1066
94.866749,114:,4,252
94.866749,11:,59,58882
96.887022,1:,560,592948
96.887022,122:,100,106600
96.887022,124:,200,213200
96.887022,113:,0,0
96.887022,111:,55,58630
96.887022,12:,500,533000
96.887022,121:,100,106600
96.887022,123:,100,106600
96.887022,112:,1,1066
96.887022,114:,4,252
96.887022,11:,60,59948
98.905198,1:,561,594014
98.905198,122:,100,106600
98.905198,124:,200,213200
98.905198,113:,0,0
98.905198,111:,56,59696
98.905198,12:,500,533000
98.905198,121:,100,106600
98.905198,123:,100,106600
98.905198,112:,1,1066
98.905198,114:,4,252
98.905198,11:,61,61014
100.923116,1:,562,595080
100.923116,122:,100,106600
100.923116,124:,200,213200
100.923116,113:,0,0
100.923116,111:,57,60762
100.923116,12:,500,533000
100.923116,121:,100,106600
100.923116,123:,100,106600
100.923116,112:,1,1066
100.923116,114:,4,252
100.923116,11:,62,62080
102.939431,1:,563,596146
102.939431,122:,100,106600
102.939431,124:,200,213200
102.939431,113:,0,0
102.939431,111:,58,61828
102.939431,12:,500,533000
102.939431,121:,100,106600
102.939431,123:,100,106600
102.939431,112:,1,1066
102.939431,114:,4,252
102.939431,11:,63,63146
104.958178,1:,565,598278
104.958178,122:,100,106600
104.958178,124:,200,213200
104.958178,113:,0,0
104.958178,111:,60,63960
104.958178,12:,500,533000
104.958178,121:,100,106600
104.958178,123:,100,106600
104.958178,112:,1,1066
104.958178,114:,4,252
104.958178,11:,65,65278
106.976907,1:,566,599344
106.976907,122:,100,106600
106.976907,124:,200,213200
106.976907,113:,0,0
106.976907,111:,61,65026
106.976907,12:,500,533000
106.976907,121:,100,106600
106.976907,123:,100,106600
106.976907,112:,1,1066
106.976907,114:,4,252
106.976907,11:,66,66344
108.995609,1:,567,600410
108.995609,122:,100,106600
108.995609,124:,200,213200
108.995609,113:,0,0
108.995609,111:,62,66092
108.995609,12:,500,533000
108.995609,121:,100,106600
108.995609,123:,100,106600
108.995609,112:,1,1066
108.995609,114:,4,252
108.995609,11:,67,67410
111.004843,1:,568,601476
111.004843,122:,100,106600
111.004843,124:,200,213200
111.004843,113:,0,0
111.004843,111:,63,67158
111.004843,12:,500,533000
111.004843,121:,100,106600
111.004843,123:,100,106600
111.004843,112:,1,1066
111.004843,114:,4,252
111.004843,11:,68,68476
113.020836,1:,569,602542
113.020836,122:,100,106600
113.020836,124:,200,213200
113.020836,113:,0,0
113.020836,111:,64,68224
113.020836,12:,500,533000
113.020836,121:,100,106600
113.020836,123:,100,106600
113.020836,112:,1,1066
113.020836,114:,4,252
113.020836,11:,69,69542
115.039434,1:,570,603608
115.039434,122:,100,106600
115.039434,124:,200,213200
115.039434,113:,0,0
115.039434,111:,65,69290
115.039434,12:,500,533000
115.039434,121:,100,106600
115.039434,123:,100,106600
115.039434,112:,1,1066
115.039434,114:,4,252
115.039434,11:,70,70608
117.056673,1:,571,604674
117.056673,122:,100,106600
117.056673,124:,200,213200
117.056673,113:,0,0
117.056673,111:,66,70356
117.056673,12:,500,533000
117.056673,121:,100,106600
117.056673,123:,100,106600
117.056673,112:,1,1066
117.056673,114:,4,252
117.056673,11:,71,71674
119.067774,1:,573,606806
119.067774,122:,100,106600
119.067774,124:,200,213200
119.067774,113:,0,0
119.067774,111:,68,72488
119.067774,12:,500,533000
119.067774,121:,100,106600
119.067774,123:,100,106600
119.067774,112:,1,1066
119.067774,114:,4,252
119.067774,11:,73,73806
121.084158,1:,574,607872
121.084158,122:,100,106600
121.084158,124:,200,213200
121.084158,113:,0,0
121.084158,111:,69,73554
121.084158,12:,500,533000
121.084158,121:,100,106600
121.084158,123:,100,106600
121.084158,112:,1,1066
121.084158,114:,4,252
121.084158,11:,74,74872
123.109476,1:,575,608938
123.109476,122:,100,106600
123.109476,124:,200,213200
123.109476,113:,0,0
123.109476,111:,70,74620
123.109476,12:,500,533000
123.109476,121:,100,106600
123.109476,123:,100,106600
123.109476,112:,1,1066
123.109476,114:,4,252
123.109476,11:,75,75938
125.119162,1:,576,610004
125.119162,122:,100,106600
125.119162,124:,200,213200
125.119162,113:,0,0
125.119162,111:,71,75686
125.119162,12:,500,533000
125.119162,121:,100,106600
125.119162,123:,100,106600
125.119162,112:,1,1066
125.119162,114:,4,252
125.119162,11:,76,77004
127.131966,1:,577,611070
127.131966,122:,100,106600
127.131966,124:,200,213200
127.131966,113:,0,0
127.131966,111:,72,76752
127.131966,12:,500,533000
127.131966,121:,100,106600
127.131966,123:,100,106600
127.131966,112:,1,1066
127.131966,114:,4,252
127.131966,11:,77,78070
129.140421,1:,578,612136
129.140421,122:,100,106600
129.140421,124:,200,213200
129.140421,113:,0,0
129.140421,111:,73,77818
129.140421,12:,500,533000
129.140421,121:,100,106600
129.140421,123:,100,106600
129.140421,112:,1,1066
129.140421,114:,4,252
129.140421,11:,78,79136
131.156895,1:,579,613202
131.156895,122:,100,106600
131.156895,124:,200,213200
131.156895,113:,0,0
131.156895,111:,74,78884
131.156895,12:,500,533000
131.156895,121:,100,106600
131.156895,123:,100,106600
131.156895,112:,1,1066
131.156895,114:,4,252
131.156895,11:,79,80202
133.166225,1:,580,614268
133.166225,122:,100,106600
133.166225,124:,200,213200
133.166225,113:,0,0
133.166225,111:,75,79950
133.166225,12:,500,533000
133.166225,121:,100,106600
133.166225,123:,100,106600
133.166225,112:,1,1066
133.166225,114:,4,252
133.166225,11:,80,81268
135.182551,1:,582,616400
135.182551,122:,100,106600
135.182551,124:,200,213200
135.182551,113:,0,0
135.182551,111:,77,82082
135.182551,12:,500,533000
135.182551,121:,100,106600
135.182551,123:,100,106600
