duration_in_secs,handle,packets,bytes
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
0.0,,0,0
1.025744,,0,0
1.025744,,0,0
1.025744,,0,0
1.025744,,0,0
1.025744,,11,11726
1.025744,,0,0
1.025744,,2,2132
1.025744,,0,0
1.025744,,0,0
1.025744,,0,0
2.045685,,0,0
2.045685,,0,0
2.045685,,0,0
2.045685,,0,0
2.045685,,40,42640
2.045685,,0,0
2.045685,,4,4264
2.045685,,0,0
2.045685,,0,0
2.045685,,0,0
3.066546,,0,0
3.066546,,0,0
3.066546,,0,0
3.066546,,0,0
3.066546,,68,72488
3.066546,,0,0
3.066546,,5,5330
3.066546,,0,0
3.066546,,0,0
3.066546,,0,0
4.092837,,0,0
4.092837,,0,0
4.092837,,0,0
4.092837,,0,0
4.092837,,97,103402
4.092837,,0,0
4.092837,,6,6396
4.092837,,0,0
4.092837,,0,0
4.092837,,0,0
5.123436,,0,0
5.123436,,0,0
5.123436,,0,0
5.123436,,0,0
5.123436,,126,134316
5.123436,,0,0
5.123436,,7,7462
5.123436,,0,0
5.123436,,0,0
5.123436,,0,0
6.142496,,0,0
6.142496,,0,0
6.142496,,0,0
6.142496,,0,0
6.142496,,155,165230
6.142496,,0,0
6.142496,,8,8528
6.142496,,0,0
6.142496,,0,0
6.142496,,0,0
7.157159,,0,0
7.157159,,0,0
7.157159,,0,0
7.157159,,0,0
7.157159,,184,196144
7.157159,,0,0
7.157159,,9,9594
7.157159,,0,0
7.157159,,0,0
7.157159,,0,0
8.17984,,0,0
8.17984,,0,0
8.17984,,0,0
8.17984,,0,0
8.17984,,212,225992
8.17984,,0,0
8.17984,,11,11726
8.17984,,0,0
8.17984,,0,0
8.17984,,0,0
9.187547,,0,0
9.187547,,0,0
9.187547,,0,0
9.187547,,0,0
9.187547,,240,255840
9.187547,,0,0
9.187547,,12,12792
9.187547,,0,0
9.187547,,0,0
9.187547,,0,0
10.194957,,0,0
10.194957,,0,0
10.194957,,0,0
10.194957,,0,0
10.194957,,269,286754
10.194957,,0,0
10.194957,,13,13858
10.194957,,0,0
10.194957,,0,0
10.194957,,0,0
11.202432,,0,0
11.202432,,0,0
11.202432,,0,0
11.202432,,0,0
11.202432,,298,317668
11.202432,,0,0
11.202432,,14,14924
11.202432,,0,0
11.202432,,0,0
