duration_in_secs,handle,packets,bytes
40.324017,12:,45,47970
40.324017,121:,44,46904
40.324017,123:,0,0
40.324017,112:,1,1066
40.324017,114:,2,140
40.324017,11:,6,4404
42.348615,1:,55,56638
42.348615,122:,1,1066
42.348615,124:,0,0
42.348615,113:,0,0
42.348615,111:,3,3198
42.348615,12:,49,52234
42.348615,121:,48,51168
42.348615,123:,0,0
42.348615,112:,1,1066
42.348615,114:,2,140
42.348615,11:,6,4404
44.356777,1:,58,59836
44.356777,122:,1,1066
44.356777,124:,0,0
44.356777,113:,0,0
44.356777,111:,3,3198
44.356777,12:,52,55432
44.356777,121:,51,54366
44.356777,123:,0,0
44.356777,112:,1,1066
44.356777,114:,2,140
44.356777,11:,6,4404
46.374426,1:,62,64100
46.374426,122:,1,1066
46.374426,124:,0,0
46.374426,113:,0,0
46.374426,111:,3,3198
46.374426,12:,56,59696
46.374426,121:,55,58630
46.374426,123:,0,0
46.374426,112:,1,1066
46.374426,114:,2,140
46.374426,11:,6,4404
48.380643,1:,65,67298
48.380643,122:,1,1066
48.380643,124:,0,0
48.380643,113:,0,0
48.380643,111:,3,3198
48.380643,12:,59,62894
48.380643,121:,58,61828
48.380643,123:,0,0
48.380643,112:,1,1066
48.380643,114:,2,140
48.380643,11:,6,4404
50.389652,1:,69,71562
50.389652,122:,1,1066
50.389652,124:,0,0
50.389652,113:,0,0
50.389652,111:,3,3198
50.389652,12:,63,67158
50.389652,121:,62,66092
50.389652,123:,0,0
50.389652,112:,1,1066
50.389652,114:,2,140
50.389652,11:,6,4404
52.417655,1:,73,75826
52.417655,122:,1,1066
52.417655,124:,0,0
52.417655,113:,0,0
52.417655,111:,4,4264
52.417655,12:,66,70356
52.417655,121:,65,69290
52.417655,123:,0,0
52.417655,112:,1,1066
52.417655,114:,2,140
52.417655,11:,7,5470
54.423248,1:,77,80090
54.423248,122:,1,1066
54.423248,124:,0,0
54.423248,113:,0,0
54.423248,111:,4,4264
54.423248,12:,70,74620
54.423248,121:,69,73554
54.423248,123:,0,0
54.423248,112:,1,1066
54.423248,114:,2,140
54.423248,11:,7,5470
56.438791,1:,80,83288
56.438791,122:,1,1066
56.438791,124:,0,0
56.438791,113:,0,0
56.438791,111:,4,4264
56.438791,12:,73,77818
56.438791,121:,72,76752
56.438791,123:,0,0
56.438791,112:,1,1066
56.438791,114:,2,140
56.438791,11:,7,5470
58.446881,1:,84,87552
58.446881,122:,1,1066
58.446881,124:,0,0
58.446881,113:,0,0
58.446881,111:,4,4264
58.446881,12:,77,82082
58.446881,121:,76,81016
58.446881,123:,0,0
58.446881,112:,1,1066
58.446881,114:,2,140
58.446881,11:,7,5470
60.452431,1:,88,91816
60.452431,122:,1,1066
60.452431,124:,0,0
60.452431,113:,0,0
60.452431,111:,4,4264
60.452431,12:,81,86346
60.452431,121:,80,85280
60.452431,123:,0,0
60.452431,112:,1,1066
60.452431,114:,2,140
60.452431,11:,7,5470
62.46762,1:,91,95014
62.46762,122:,1,1066
62.46762,124:,0,0
62.46762,113:,0,0
62.46762,111:,4,4264
62.46762,12:,84,89544
62.46762,121:,83,88478
62.46762,123:,0,0
62.46762,112:,1,1066
62.46762,114:,2,140
62.46762,11:,7,5470
64.485299,1:,95,99278
64.485299,122:,1,1066
64.485299,124:,0,0
64.485299,113:,0,0
64.485299,111:,4,4264
64.485299,12:,88,93808
64.485299,121:,87,92742
64.485299,123:,0,0
64.485299,112:,1,1066
64.485299,114:,2,140
64.485299,11:,7,5470
66.494911,1:,99,103542
66.494911,122:,1,1066
66.494911,124:,0,0
66.494911,113:,0,0
66.494911,111:,5,5330
66.494911,12:,91,97006
66.494911,121:,90,95940
66.494911,123:,0,0
66.494911,112:,1,1066
66.494911,114:,2,140
66.494911,11:,8,6536
68.501768,1:,103,107806
68.501768,122:,1,1066
68.501768,124:,0,0
68.501768,113:,0,0
68.501768,111:,5,5330
68.501768,12:,95,101270
68.501768,121:,94,100204
68.501768,123:,0,0
68.501768,112:,1,1066
68.501768,114:,2,140
68.501768,11:,8,6536
70.528679,1:,106,111004
70.528679,122:,1,1066
70.528679,124:,0,0
70.528679,113:,0,0
70.528679,111:,5,5330
70.528679,12:,98,104468
70.528679,121:,97,103402
70.528679,123:,0,0
70.528679,112:,1,1066
70.528679,114:,2,140
70.528679,11:,8,6536
72.547158,1:,110,115268
72.547158,122:,2,2132
72.547158,124:,0,0
72.547158,113:,0,0
72.547158,111:,5,5330
72.547158,12:,102,108732
72.547158,121:,100,106600
72.547158,123:,0,0
72.547158,112:,1,1066
72.547158,114:,2,140
72.547158,11:,8,6536
74.566295,1:,113,118466
74.566295,122:,5,5330
74.566295,124:,0,0
74.566295,113:,0,0
74.566295,111:,5,5330
74.566295,12:,105,111930
74.566295,121:,100,106600
74.566295,123:,0,0
74.566295,112:,1,1066
74.566295,114:,2,140
74.566295,11:,8,6536
76.587279,1:,117,122730
76.587279,122:,9,9594
76.587279,124:,0,0
76.587279,113:,0,0
76.587279,111:,5,5330
76.587279,12:,109,116194
76.587279,121:,100,106600
76.587279,123:,0,0
76.587279,112:,1,1066
76.587279,114:,2,140
76.587279,11:,8,6536
78.598324,1:,120,125928
78.598324,122:,12,12792
78.598324,124:,0,0
78.598324,113:,0,0
78.598324,111:,5,5330
78.598324,12:,112,119392
78.598324,121:,100,106600
78.598324,123:,0,0
78.598324,112:,1,1066
