timestamp,handle,packets,bytes,qlen,drops
2021-01-26 05:26:41.955695,124:,0,0,200,0
2021-01-26 05:26:41.955695,113:,1,1066,100,0
2021-01-26 05:26:41.955695,111:,2,2132,98,0
2021-01-26 05:26:41.955695,12:,36,38376,464,0
2021-01-26 05:26:41.955695,121:,35,37310,65,0
2021-01-26 05:26:41.955695,123:,0,0,100,0
2021-01-26 05:26:41.955695,112:,1,1066,99,0
2021-01-26 05:26:41.955695,114:,4,224,207,0
2021-01-26 05:26:41.955695,11:,7,3422,504,0
2021-01-26 05:26:43.962606,1:,51,50326,960,0
2021-01-26 05:26:43.962606,122:,1,1066,99,0
2021-01-26 05:26:43.962606,124:,0,0,200,0
2021-01-26 05:26:43.962606,113:,1,1066,100,0
2021-01-26 05:26:43.962606,111:,3,3198,97,0
2021-01-26 05:26:43.962606,12:,43,45838,457,0
2021-01-26 05:26:43.962606,121:,42,44772,58,0
2021-01-26 05:26:43.962606,123:,0,0,100,0
2021-01-26 05:26:43.962606,112:,1,1066,99,0
2021-01-26 05:26:43.962606,114:,4,224,207,0
2021-01-26 05:26:43.962606,11:,8,4488,503,0
2021-01-26 05:26:45.978863,1:,58,57788,953,0
2021-01-26 05:26:45.978863,122:,1,1066,99,0
2021-01-26 05:26:45.978863,124:,0,0,200,0
2021-01-26 05:26:45.978863,113:,1,1066,100,0
2021-01-26 05:26:45.978863,111:,3,3198,97,0
2021-01-26 05:26:45.978863,12:,50,53300,450,0
2021-01-26 05:26:45.978863,121:,49,52234,51,0
2021-01-26 05:26:45.978863,123:,0,0,100,0
2021-01-26 05:26:45.978863,112:,1,1066,99,0
2021-01-26 05:26:45.978863,114:,4,224,207,0
2021-01-26 05:26:45.978863,11:,8,4488,503,0
2021-01-26 05:26:47.998016,1:,65,65250,946,0
2021-01-26 05:26:47.998016,122:,1,1066,99,0
2021-01-26 05:26:47.998016,124:,0,0,200,0
2021-01-26 05:26:47.998016,113:,1,1066,100,0
2021-01-26 05:26:47.998016,111:,3,3198,97,0
2021-01-26 05:26:47.998016,12:,57,60762,443,0
2021-01-26 05:26:47.998016,121:,56,59696,44,0
2021-01-26 05:26:47.998016,123:,0,0,100,0
2021-01-26 05:26:47.998016,112:,1,1066,99,0
2021-01-26 05:26:47.998016,114:,4,224,207,0
2021-01-26 05:26:47.998016,11:,8,4488,503,0
2021-01-26 05:26:50.022046,1:,72,72712,939,0
2021-01-26 05:26:50.022046,122:,1,1066,99,0
2021-01-26 05:26:50.022046,124:,0,0,200,0
